"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
-2.11071325767924,-0.308857154446478,-1.06920452746898,2.5e-09,-2.04186229390163,2.5e-09,-0.322618627838637,-0.0492768780459285,-0.0326407099478658,2.5e-09,-0.767720722056966,-0.720093828441637,-1.7773982511207,2.5e-09,-0.667630304360158,2.5e-09,-0.933353683736403,-0.752853360670232,2.5e-09,-0.378304176317319,2.5e-09,2.5e-09,-0.905269898927529,2.5e-09,2.5e-09,-1.1137789436577,2.5e-09,2.5e-09,2.5e-09,-3.7297724083673,-2.53139935608288,2.5e-09,-1.53003757779644,2.5e-09,-0.675204458624943,2.5e-09,2.5e-09,-1.12456638822948,-0.258202178924918,2.5e-09,-0.150708073191019,-0.593601007185268,-2.63892136725633,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-0.469059423605091,2.5e-09,-0.987767155244818,-0.693269365841536,-0.9435919710984,-0.633862150085491,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-0.582796276099872,2.5e-09,2.5e-09,2.5e-09,-2.0823428300744,2.5e-09,-0.115515057766147,2.5e-09,-0.0316698857104554,-3.60796887419321,-0.710243786258462,2.5e-09,-1.17871929054361,2.5e-09,2.5e-09,2.5e-09,-0.70924735284128,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-0.37973398197631,-1.73559619431273,-0.82431971523107,2.5e-09,-2.05867787271953,-1.80223110468621,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-0.76168507784864,2.5e-09,-0.620657270371452,2.5e-09,-0.552248788401307,-1.25939814945548,2.5e-09,-0.223054318039009,-0.0636245420012591,-0.159414041335882
-1.5101422452174,-2.32279316601697,-0.0469626746570866,2.5e-09,-2.86829118006219,-1.15580965904093,-2.06335416430018,-0.570134895928473,-0.372427000358423,2.5e-09,-1.18741647869529,-1.09079694583679,-1.40103487642468,2.5e-09,-2.30385297504914,2.5e-09,-1.79570185063397,-0.201647156491933,-1.98888399820133,-0.1542291537683,-0.945532177924002,2.5e-09,-3.41637379876984,2.5e-09,2.5e-09,-2.28187027850119,2.5e-09,2.5e-09,-1.02221294467529,-3.63799107941312,-4.12483975447158,2.5e-09,-1.98994081425171,2.5e-09,-0.610278834880411,2.5e-09,2.5e-09,2.5e-09,-0.411447035857983,-0.761694892679654,2.5e-09,-1.66029588871537,-2.67036821170474,2.5e-09,-0.129912022978259,2.5e-09,-0.893108267913774,-2.03928168689884,2.5e-09,-1.34560625162734,-1.87609827456208,-0.613117040587534,-2.21914940985899,-1.11799604799579,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-2.51136833086603,2.5e-09,-0.18179075856763,-0.116778091891458,2.5e-09,-3.85988880499322,-1.62124459744856,2.5e-09,-0.937820079652762,2.5e-09,-1.84094157284786,-1.12000200114389,-0.83108940705014,2.5e-09,2.5e-09,2.5e-09,-3.0997401307384,2.5e-09,-3.40979050005233,-2.30053156615003,2.5e-09,-2.84377644368029,-2.12952857409507,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-1.0797414771124,2.5e-09,-3.92775764691714,2.5e-09,2.5e-09,2.5e-09,-1.97609047061366,-1.89656015966497,-0.453320286506726,-0.138503067740547,-0.770971731479951,-1.50736396047853
-3.96426473994183,-3.43041232977188,-0.303271269177258,2.5e-09,-3.50606754553372,-2.54916761625415,-3.14829449018792,-2.58970446941583,-0.648801238811997,-0.285274060726965,-1.38114377551374,-2.63420179948891,-4.02068915302371,-2.80522626784135,-3.50123110571147,-0.733649596967143,-2.39749065675604,-0.909431455418915,-5.46048569290302,-2.41327594778602,-2.58915331076244,2.5e-09,-7.6280164460077,2.5e-09,2.5e-09,-1.70607335730458,-0.603864868227347,-0.423331200312453,2.5e-09,-3.06163005316504,-5.94330077189553,2.5e-09,-4.02783099064244,2.5e-09,-0.809142863749974,2.5e-09,-0.782252537604313,2.5e-09,-1.01743829484707,-0.971823664880478,-0.517649036122865,-3.19036879216435,-2.3844042201007,2.5e-09,-0.302793534305965,2.5e-09,-2.52685773470619,-3.4202331381466,2.5e-09,2.5e-09,-2.57423359970865,-1.05261835499918,-5.93795644020147,-2.55278104792954,-1.61832982984046,2.5e-09,-0.369652625238787,2.5e-09,-1.67538995264872,-0.0948117111262825,2.5e-09,-1.52532161359669,2.5e-09,-1.05508689946723,-1.5411376161128,2.5e-09,-4.89535728990123,-3.8602205228629,2.5e-09,-1.67447266427865,-0.375086429732359,-2.00838937888685,-2.18614963760573,-2.45494646631442,-0.186678007740391,2.5e-09,-1.06769014217394,-6.03896328937781,2.5e-09,-3.3160922572292,-2.44438874270024,2.5e-09,-2.30561125368049,-3.16952113452177,-1.25331389943797,2.5e-09,-0.175796683938971,2.5e-09,-1.27677490289802,2.5e-09,-5.11206184292914,2.5e-09,-1.49401690102092,2.5e-09,-2.26698510482527,-2.13746786721257,2.5e-09,2.5e-09,-1.5776857546952,-1.59051651218134
-5.31760189578786,-2.34372490553217,2.5e-09,2.5e-09,-0.308460296053003,-2.26583009266306,-0.709872173155351,-3.25682418116257,2.5e-09,2.5e-09,2.5e-09,-0.507716599179468,-1.42082978339787,-3.6517286469607,-0.531714430031569,2.5e-09,-1.28269426384986,-0.429984310704456,-4.31022829275284,-1.43474258945409,-1.24891133701725,2.5e-09,-6.24445244896779,2.5e-09,2.5e-09,-0.39474694638573,2.5e-09,-0.208754291461153,2.5e-09,-0.530688737204172,-4.60213886342623,2.5e-09,-3.97164233631712,2.5e-09,-0.47082864054989,2.5e-09,-0.685736200868914,2.5e-09,-2.73069571750952,2.5e-09,-1.27228844963369,-2.40176162146605,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-4.42149719149263,2.5e-09,2.5e-09,-1.26029213047169,-0.446993847300601,-5.70284893470223,-1.01406898709782,-0.519504377322468,2.5e-09,-0.373187482700971,2.5e-09,-3.14518382886906,-0.095371709663101,2.5e-09,2.5e-09,-0.104621179748888,-0.00733877577129081,-0.669279964064537,-0.573173649798062,-0.993692331964607,-3.30807426180638,-0.0450655702636589,-2.96933899442721,2.5e-09,-1.65422165307374,-0.238771912771505,-1.7197613504655,-0.0054902128647669,-0.0681386204535148,-0.0901418580540334,-4.74070323145701,-0.375913431511239,2.5e-09,-0.478044292938552,2.5e-09,2.5e-09,-3.38182248993115,-2.3853020464822,2.5e-09,-0.0632585550358178,2.5e-09,-2.21127249583351,2.5e-09,-3.25233531411631,-1.37510860824805,-1.82771470779264,2.5e-09,-4.08404310376306,-0.895379433369436,2.5e-09,2.5e-09,2.5e-09,-0.970163713046002
-6.31152774477956,-3.0923972238513,-0.982313497208709,2.5e-09,2.5e-09,-1.60183425561279,-0.407984111335803,-1.20463699217013,2.5e-09,2.5e-09,2.5e-09,-0.931933544113316,2.5e-09,-2.7853746512579,-0.419209045518512,2.5e-09,-0.537812279818784,-1.91632206146765,-2.6064637808503,2.5e-09,2.5e-09,2.5e-09,-3.80230577048756,2.5e-09,2.5e-09,-1.93794586810234,2.5e-09,-0.721504880566681,-0.820191318923032,-1.09117024359806,-3.76331956644061,2.5e-09,-3.72019790002518,2.5e-09,-0.668476613576746,2.5e-09,-2.29378900069002,2.5e-09,-3.14257491338328,2.5e-09,2.5e-09,-1.73089954869406,-0.853923642886065,2.5e-09,2.5e-09,2.5e-09,-0.733661176780515,-4.52630669812463,2.5e-09,2.5e-09,-2.23210548863968,-1.85399878230522,-6.00233646783494,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-2.13594014218294,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-0.555015055961558,2.5e-09,-1.46805988051808,-0.694158116726081,-3.80884220437503,-1.06046831575798,-1.99443152711952,2.5e-09,-0.110381100842722,-0.12384929106335,-1.00465935828611,-1.57415112633176,2.5e-09,2.5e-09,-4.21557480061332,-2.45513319276905,2.5e-09,-0.167472815499165,2.5e-09,2.5e-09,-1.45299037961211,-0.917910604316982,2.5e-09,-1.47867711297518,2.5e-09,-2.31029062655726,2.5e-09,2.5e-09,-0.740725777799994,-2.20781234541283,2.5e-09,-2.88261337378881,-1.48992489655998,2.5e-09,2.5e-09,2.5e-09,2.5e-09
-3.94915295059264,-0.943554433890588,-1.00167075838013,2.5e-09,2.5e-09,2.5e-09,-0.784228430494397,2.5e-09,-0.236158345510442,2.5e-09,2.5e-09,-0.0109166224364803,2.5e-09,-1.54697778803447,2.5e-09,2.5e-09,2.5e-09,-1.03682683191892,-2.71744686712012,2.5e-09,2.5e-09,2.5e-09,-2.11816169271071,2.5e-09,2.5e-09,-2.04776936870953,2.5e-09,-2.36152758522165,-2.50728167858617,-0.65528280916928,-2.71987801571415,2.5e-09,-2.22579027803446,2.5e-09,2.5e-09,2.5e-09,-0.590175619418158,2.5e-09,-3.77879708474245,-0.0363770157362657,2.5e-09,-0.695194153331643,-2.32568994970711,2.5e-09,2.5e-09,2.5e-09,-1.52994963845561,-3.23235346696864,2.5e-09,2.5e-09,-1.46738679143146,-1.74874673025813,-5.82125242276273,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-0.0510179826815451,2.5e-09,2.5e-09,2.5e-09,-2.30254298376353,-0.730506379136397,-0.223041676518386,-0.236777669347683,-5.40975338211186,-0.479488234616456,-0.652527414906282,2.5e-09,2.5e-09,-0.783919670699877,2.5e-09,-3.38256395968451,2.5e-09,-0.981528835421688,-1.94986549101412,-2.63491904224719,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-0.619996459934423,2.5e-09,2.5e-09,-0.749727763702514,2.5e-09,2.5e-09,2.5e-09,-3.13661582458598,2.5e-09,-0.988023596282992,-2.73798937974715,-1.28745989263043,2.5e-09,-0.664760251782317,-1.26244932255784
-2.13747915642131,-0.140231780087325,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-0.400878509612535,2.5e-09,-1.26155624070328,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-0.785313437089753,2.5e-09,2.5e-09,2.5e-09,-1.62006814677063,-2.379273825976,-0.69383670565119,2.5e-09,2.5e-09,-0.477341854691317,-0.439870514202125,2.5e-09,-2.89773411084504,2.5e-09,-4.34955006771758,-0.679987712308903,-0.262072312366186,2.5e-09,2.5e-09,-3.75748531533965,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-2.47076094208227,-0.83005115173942,2.5e-09,-0.271239535326138,-2.87605752342981,2.5e-09,2.5e-09,2.5e-09,-2.46933050220199,-2.84318933039793,2.5e-09,2.5e-09,-0.189868603035575,-0.814199423208639,-5.0484261947887,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-1.72879838688662,-0.854825459487233,2.5e-09,2.5e-09,-4.02290672829081,-1.0904833871808,2.5e-09,2.5e-09,2.5e-09,-0.80810490362434,2.5e-09,-1.65511481560093,2.5e-09,-2.14034106360364,-1.20940290630132,-2.35114449729652,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-1.80097783201472,2.5e-09,2.5e-09,2.5e-09,-1.24002941582503,2.5e-09,-2.11654284908892,-1.56514053436177,-1.1441341973042,2.5e-09,2.5e-09,-1.6020175652158
-1.26038256205597,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-1.89009396891701,-0.613571231766348,2.5e-09,2.5e-09,2.5e-09,-1.28558303849319,2.5e-09,2.5e-09,2.5e-09,-0.978401157576551,-0.335130551808856,2.5e-09,-0.274250471083398,2.5e-09,2.5e-09,-0.583801658027689,2.5e-09,-1.98974824986635,-0.707377583310218,-1.47454205905082,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-3.28590657647222,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-0.593315296244873,2.5e-09,2.5e-09,2.5e-09,-2.99811338348158,2.5e-09,2.5e-09,2.5e-09,-2.53987504965041,-1.74547647400228,2.5e-09,2.5e-09,-1.38294153433048,2.5e-09,-3.93650265610797,2.5e-09,2.5e-09,2.5e-09,-0.253925933756541,2.5e-09,-0.712590316705073,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-0.608681301816874,-0.657871405892416,2.5e-09,-2.45738808965408,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-1.04486067170323,2.5e-09,2.5e-09,2.5e-09,-2.42368376688578,-1.74160482611609,-2.6416102661379,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-0.109052617905612,2.5e-09,2.5e-09,-1.05415077736974,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-0.382478564728308
2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-0.415621365989004,-1.78164595295544,2.5e-09,-2.073487814752,-2.38774852106288,2.5e-09,-2.47330441385193,2.5e-09,-3.21095443902015,2.5e-09,2.5e-09,2.5e-09,-2.34132527432177,2.5e-09,2.5e-09,-1.53634375830812,2.5e-09,2.5e-09,-0.937867387932015,2.5e-09,-3.69687338702225,-0.524514040437642,-0.92412368386345,-1.6545896738118,2.5e-09,2.5e-09,2.5e-09,-2.32715711229747,2.5e-09,-0.957252893875329,2.5e-09,2.5e-09,-0.359863520744083,-0.474667262603496,-1.6520126354126,2.5e-09,2.5e-09,-4.66056630717544,2.5e-09,2.5e-09,2.5e-09,-2.51168449261699,-0.178810031259117,2.5e-09,-0.515443707117366,-2.35062967417506,2.5e-09,-3.7376921425369,2.5e-09,-2.0838365167851,2.5e-09,-4.19755431456547,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-0.615048149609886,2.5e-09,2.5e-09,-2.55093206453999,-2.65574401445175,2.5e-09,-2.01638447693324,-0.598825889832552,-1.31205709597267,2.5e-09,2.5e-09,-0.714826027958392,2.5e-09,2.5e-09,-0.919857155586712,-4.38515640953075,-6.35351833690504,-2.98792820977144,2.5e-09,-1.16023170690718,-3.59098908836221,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-0.0823987713993193,2.5e-09,2.5e-09,-0.830064381721864,2.5e-09,2.5e-09,-0.430308520281435,2.5e-09,-2.09920066242889,2.5e-09,2.5e-09,-0.0700329557580146
2.5e-09,-3.89250112268347,-1.64981334379478,2.5e-09,2.5e-09,-2.96555431852937,-5.11365839160666,2.5e-09,-3.65719807065386,-6.86835235295984,2.5e-09,-3.45618668629576,2.5e-09,-4.10396352155574,-2.21150491936586,2.5e-09,-2.42482615978405,-3.07237587358783,2.5e-09,2.5e-09,-2.62259594982949,-1.83749799863079,2.5e-09,-4.29742757797225,2.5e-09,-3.07204400041731,-3.34077667788198,-5.39276175073516,-2.85455207172031,-0.77752707661674,2.5e-09,-2.96307385522401,-3.30839472126547,2.5e-09,2.5e-09,-0.757798059708873,-3.91209015204556,-2.59305954407605,-1.69038295557788,-1.8320604975667,-0.585994561823619,2.5e-09,-4.68840037131783,-2.31207262038804,-0.689001808112197,2.5e-09,-4.6400554918031,2.5e-09,-3.01586284388991,-1.97265035904066,-4.92292135497339,2.5e-09,-2.92387361807088,2.5e-09,-3.99246090671671,2.5e-09,-2.65541662571746,-0.71830023152409,-0.909811196721561,-2.29156526357195,2.5e-09,-2.60309185612436,-0.59110135309925,-0.769583366836422,-2.49220706516206,-3.2720862818708,2.5e-09,-3.5984884590339,-2.97681391089952,-4.06225832218615,-3.73178523175062,2.5e-09,-2.76195523969024,2.5e-09,-1.6904705487965,-2.63830109188572,-7.58352194081972,-7.75612109992293,-3.70542256264482,2.5e-09,-3.68580841952916,-5.96037364550155,2.5e-09,2.5e-09,2.5e-09,-1.98352235638397,-0.147565503249392,2.5e-09,-3.0217965806372,2.5e-09,-0.955806758043598,2.5e-09,-2.011740263012,-1.20248569020941,-0.0353772838416637,2.5e-09,-3.83795910968159,2.5e-09,-2.41169338690027,-0.934017072434411
