"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","index","actual"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.3860824
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2.784282
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,7.750957
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,5.389976
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,4.628693
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,5.278699
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,5.691607
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,12.26144
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,6.741821
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,5.975109
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,4.107776
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2.349275
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0.5040145
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,0.09669652
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1.022412
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,3.48155
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,2.430716
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,4.319021
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,4.30903
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,5.46155
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,8.569622
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,3.631902
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,5.635475
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,1.272789
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,2.095642
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,0.644847
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,2.5e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,2.5e-09
